,group,PBID,mon,tue,wed,thu,fri,sat,sun,total-brushes,twice-brushes,vg-brush-time
0,C,PB2500008196,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1,5,53.61
1,C,PB2500008248,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4,8,56.025
2,C,PB2500008549,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2,8,45.275
3,D,PB2500008565,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4,11,78.35454545454546
4,C,PB2500008951,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5,12,61.67916666666667
5,C,PB2500008956,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2,6,100.64166666666667
6,C,PB2500009101,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3,9,69.37222222222222
7,D,PB2500009146,0.0,2.0,2.0,2.0,2.0,0.0,0.0,4,8,130.01250000000002
8,C,PB2500009201,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5,11,109.79545454545455
9,B,PB2500009228,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2,38.625
10,C,PB2500009375,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,4,77.4875
11,D,PB2500009446,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,5,103.29
12,D,PB2500009709,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3,7,68.87857142857142
13,C,PB2500010328,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2,7,44.199999999999996
14,B,PB2500010629,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2,5,92.4
15,C,PB2500010630,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2,6,37.266666666666666
16,D,PB2500014435,0.0,1.0,2.0,0.0,0.0,2.0,2.0,3,7,34.6
17,C,PB2500014442,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2,6,78.04166666666667
18,D,PB2500014494,0.0,2.0,2.0,2.0,2.0,1.0,2.0,5,11,86.50909090909092
19,C,PB2500014740,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4,8,95.81875
20,D,PB2500014762,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1,4,145.2875
21,A,PB2500015032,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2,4,33.324999999999996
22,A,PB2500015176,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,3,21.849999999999998
23,C,PB2500016077,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2,5,27.240000000000002
24,A,PB2500016302,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2,6,49.70833333333334
25,D,PB2500016490,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1,6,57.025
26,D,PB2500017485,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,5,71.87
27,D,PB2500029001,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2,6,51.71666666666666
28,A,PB2500029113,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1,4,25.5375
29,B,PB2500029118,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5,11,77.82272727272726
30,A,PB2500029467,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1,3,29.71666666666667
31,D,PB2500029510,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,27.333333333333332
32,D,PB2500029526,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1,4,85.525
33,C,PB2500029848,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,5,89.15
34,D,PB2500030280,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3,8,50.375
35,D,PB2500034756,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,3,120.43333333333334
36,C,PB2500034762,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,4,113.03750000000001
37,A,PB2500034769,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2,53.5
38,D,PB2500034872,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2,9,66.51111111111112
39,A,PB2500034873,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1,6,81.30833333333334
40,C,PB2500034890,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3,7,47.17142857142857
41,C,PB2500034972,0.0,1.0,2.0,2.0,2.0,2.0,1.0,4,10,124.03
42,D,PB2500035119,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1,5,67.86999999999999
43,A,PB2500035145,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1,6,84.86666666666666
44,C,PB2500035170,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3,9,76.22777777777777
45,B,PB2500035239,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,6,119.19166666666666
46,D,PB2500035317,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2,6,85.175
47,D,PB2500035373,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6,13,45.75769230769231
48,B,PB2500035411,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1,5,59.089999999999996
49,D,PB2500035479,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2,6,58.28333333333333
50,D,PB2500036660,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5,11,109.43181818181819
51,C,PB2500036703,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3,7,58.878571428571426
52,C,PB2500036788,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6,13,90.86538461538461
53,D,PB2500036963,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3,9,26.022222222222222
54,D,PB2500036964,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3,6,119.875
